learner,benchmark,protocol,prefix_fraction,probe_count,intervention_cost,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,n_runs,confusion_matrix,feature_names,recall_neither,recall_reward,recall_observation,recall_both
tabular,factorial,training_statistics,0.1,0,0.0,0.35,0.25,0.45,0.3308080808080808,0.22527472527472528,0.36813186813186816,20,"[[2, 3, 0, 0], [5, 0, 0, 0], [0, 0, 3, 2], [0, 0, 3, 2]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",0.4,0.0,0.6,0.4
tabular,factorial,state,0.1,4,20.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,state,0.1,8,40.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,state,0.1,16,80.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,state,0.1,32,160.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,state,0.1,64,320.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,reward,0.1,4,20.0,0.8500000000000001,0.6737500000000001,1.0,0.8420454545454545,0.600284090909091,1.0,20,"[[5, 0, 0, 0], [1, 4, 0, 0], [0, 0, 5, 0], [0, 1, 1, 3]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,0.8,1.0,0.6
tabular,factorial,reward,0.1,8,40.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,reward,0.1,16,80.0,0.75,0.5,0.95,0.7511363636363637,0.46190476190476193,0.9494949494949495,20,"[[4, 1, 0, 0], [1, 4, 0, 0], [0, 0, 3, 2], [0, 1, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",0.8,0.8,0.6,0.8
tabular,factorial,reward,0.1,32,160.0,0.75,0.5499999999999999,0.95,0.7511363636363637,0.5149572649572649,0.9494949494949495,20,"[[4, 1, 0, 0], [1, 4, 0, 0], [0, 0, 3, 2], [0, 1, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",0.8,0.8,0.6,0.8
