run_id,benchmark,learner,seed,kind,probe_episode,observation,action,proxy_reward,latent_state,intended_reward
run-d03a85fca5b653e5,factorial,tabular,2,combined,59,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,60,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,61,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,62,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,63,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,0,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,1,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,2,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,3,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,4,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,5,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,6,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,7,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,8,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,9,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,10,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,11,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,12,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,13,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,14,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,15,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,16,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,17,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,18,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,19,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,20,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,21,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,22,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,23,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,24,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,25,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,26,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,27,0,1,0.0,0,0.0
